대여일자,대여건수,평균기온,강수량,요일
2018-01-01,4950,-1.3,,월
2018-01-02,7136,-1.8,,화
2018-01-03,7156,-4.7,,수
2018-01-04,7102,-4.7,,목
2018-01-05,7705,-3,,금
2018-01-06,5681,-2.8,,토
2018-01-07,5220,-0.8,,일
2018-01-08,6309,1.3,0.9,월
2018-01-09,5988,-4.2,0.5,화
2018-01-10,4476,-7.5,0.3,수
2018-01-11,4337,-11.1,,목
2018-01-12,4401,-10.2,0,금
2018-01-13,3756,-4.4,0.4,토
2018-01-14,4675,0.6,,일
2018-01-15,6993,4.7,0.2,월
2018-01-16,7421,3.5,0,화
2018-01-17,6990,4.5,,수
2018-01-18,7054,2.1,0,목
2018-01-19,8329,1,,금
2018-01-20,6148,2.2,,토
2018-01-21,5574,0.4,,일
2018-01-22,4929,0.2,3.3,월
2018-01-23,4263,-11.7,,화
2018-01-24,3370,-14.2,,수
2018-01-25,3307,-14,,목
2018-01-26,3116,-14.8,,금
2018-01-27,2833,-9.9,,토
2018-01-28,3028,-6.3,,일
2018-01-29,4425,-8.5,,월
2018-01-30,3591,-5.3,2.9,화
2018-01-31,4104,-2.6,0,수
2018-02-01,5821,-4,,목
2018-02-02,6557,-2.4,,금
2018-02-03,3499,-7.3,0.5,토
2018-02-04,2642,-9.5,,일
2018-02-05,4213,-9.4,,월
2018-02-06,4257,-10.1,,화
2018-02-07,5028,-8,,수
2018-02-08,6114,-4.4,,목
2018-02-09,6905,0.4,,금
2018-02-10,4829,-0.5,,토
2018-02-11,3047,-6.1,0,일
2018-02-12,5231,-5.8,0,월
2018-02-13,6863,-0.8,,화
2018-02-14,7477,3.5,,수
2018-02-15,3935,-0.7,,목
2018-02-16,3047,-1.1,,금
2018-02-17,3494,-3,,토
2018-02-18,5191,-0.4,,일
2018-02-19,8563,1.8,,월
2018-02-20,8899,0.9,,화
2018-02-21,8342,-0.9,,수
2018-02-22,8580,1.3,0.4,목
2018-02-23,6408,4.2,3.7,금
2018-02-24,7198,2.4,,토
2018-02-25,7595,1.9,,일
2018-02-26,10712,3.1,,월
2018-02-27,10064,4.2,,화
2018-02-28,4230,4.6,25,수
2018-03-01,5761,-0.2,0.5,목
2018-03-02,9388,-0.7,,금
2018-03-03,16029,7.9,0,토
2018-03-04,5373,9.8,11.5,일
2018-03-05,9943,5.5,3.5,월
2018-03-06,14028,4.5,,화
2018-03-07,12925,6.4,0.5,수
2018-03-08,8812,4.6,4,목
2018-03-09,13573,4.5,,금
2018-03-10,13324,4.6,,토
2018-03-11,15136,6.4,,일
2018-03-12,15913,8,,월
2018-03-13,19514,12.4,,화
2018-03-14,24911,17,,수
2018-03-15,7091,12.4,27,목
2018-03-16,18415,7.1,,금
2018-03-17,20165,6.6,,토
2018-03-18,11740,8.2,0.5,일
2018-03-19,10297,8,1,월
2018-03-20,13205,4.7,,화
2018-03-21,8225,2.1,1,수
2018-03-22,16420,4.9,,목
2018-03-23,17904,6.1,,금
2018-03-24,14914,7.6,,토
2018-03-25,13942,9.6,,일
2018-03-26,15505,11,,월
2018-03-27,17456,13.3,,화
2018-03-28,21232,14,,수
2018-03-29,21436,15.4,,목
2018-03-30,24411,14.8,,금
2018-03-31,25673,14,,토
2018-04-01,22994,15.6,,일
2018-04-02,28139,18.4,,월
2018-04-03,26817,17.8,0.1,화
2018-04-04,26034,13.4,18.5,수
2018-04-05,2833,7.6,10.5,목
2018-04-06,13297,5.8,6.5,금
2018-04-07,13088,4.2,0.2,토
2018-04-08,7758,3.9,3,일
2018-04-09,23925,7.9,,월
2018-04-10,20423,15.1,5,화
2018-04-11,25557,12.6,,수
2018-04-12,28885,13.3,,목
2018-04-13,29497,14.6,,금
2018-04-14,8216,9,9,토
2018-04-15,12721,9.5,,일
2018-04-16,29589,11.6,,월
2018-04-17,28236,12.9,,화
2018-04-18,23499,12.4,,수
2018-04-19,20400,14,,목
2018-04-20,28351,18.4,,금
2018-04-21,33144,18.7,,토
2018-04-22,8095,15.5,15.5,일
2018-04-23,1037,9.3,59,월
2018-04-24,24560,12.1,3,화
2018-04-25,33728,14.6,,수
2018-04-26,32547,14.9,,목
2018-04-27,32989,15.7,,금
2018-04-28,33738,15.4,,토
2018-04-29,35159,16.2,,일
2018-04-30,32629,19.2,,월
2018-05-01,34593,20.4,0,화
2018-05-02,8374,15.1,12,수
2018-05-03,25963,11.2,1,목
2018-05-04,34058,14.1,,금
2018-05-05,37389,18.3,,토
2018-05-06,19809,16.6,22,일
2018-05-07,40026,19.2,,월
2018-05-08,33738,17.5,,화
2018-05-09,37851,15.7,,수
2018-05-10,36549,15.4,,목
2018-05-11,33923,16.1,,금
2018-05-12,3551,14.2,32,토
2018-05-13,35668,15.8,0.5,일
2018-05-14,35918,18.2,,월
2018-05-15,36476,23.2,0,화
2018-05-16,7072,22.3,45,수
2018-05-17,3802,20.9,83,목
2018-05-18,19629,16.3,6.5,금
2018-05-19,43471,17.6,,토
2018-05-20,39036,17,,일
2018-05-21,42039,17.8,,월
2018-05-22,17444,18.1,12.5,화
2018-05-23,35975,17.3,6.5,수
2018-05-24,36858,18.3,,목
2018-05-25,37569,19.7,,금
2018-05-26,37761,21.8,,토
2018-05-27,39534,20.3,,일
2018-05-28,40775,22.3,,월
2018-05-29,29925,21.4,1,화
2018-05-30,39214,20.2,0,수
2018-05-31,41619,20.9,,목
2018-06-01,41970,23.8,,금
2018-06-02,41677,23.4,,토
2018-06-03,40565,24,,일
2018-06-04,44014,22.6,,월
2018-06-05,44118,23.7,,화
2018-06-06,40440,23,,수
2018-06-07,42038,22.2,,목
2018-06-08,46516,21.9,,금
2018-06-09,32839,23.7,0.5,토
2018-06-10,39277,21.3,0.5,일
2018-06-11,30605,20.2,5,월
2018-06-12,46201,21.3,0,화
2018-06-13,49116,22,0,수
2018-06-14,30511,21.6,29,목
2018-06-15,45103,21.7,16.5,금
2018-06-16,46457,22.5,,토
2018-06-17,43484,22.8,,일
2018-06-18,36316,24.8,,월
2018-06-19,47296,22.4,,화
2018-06-20,46612,22.7,,수
2018-06-21,47762,23.7,,목
2018-06-22,47478,25,,금
2018-06-23,45663,24.5,,토
2018-06-24,39548,25.2,,일
2018-06-25,46565,27.1,,월
2018-06-26,6391,22.3,71.5,화
2018-06-27,41128,22.3,1,수
2018-06-28,27757,23.3,26.5,목
2018-06-29,42765,24.7,6.5,금
2018-06-30,26911,24.4,14.5,토
2018-07-01,4358,21.9,83.5,일
2018-07-02,6261,22.6,59.5,월
2018-07-03,41350,27.4,0.1,화
2018-07-04,45741,27.3,,수
2018-07-05,39804,25.3,0.5,목
2018-07-06,49521,23.9,,금
2018-07-07,48015,23.7,,토
2018-07-08,48132,23.3,,일
2018-07-09,8155,20.8,14,월
2018-07-10,27956,23.7,16.5,화
2018-07-11,35390,26.8,3,수
2018-07-12,43611,26.6,1,목
2018-07-13,44976,27.3,,금
2018-07-14,39205,27.9,0,토
2018-07-15,34957,28.3,,일
2018-07-16,40964,28.7,,월
2018-07-17,43323,28.1,,화
2018-07-18,42609,28.2,,수
